date,lst_mean,lst_min,lst_max
2023-08-01,32.875,22.42,47.76
2023-08-02,32.88,22.24,47.72
2023-08-03,31.798,22.7,44.04
2023-08-04,25.785,15.09,37.08
2023-08-05,28.767,19.16,44.19
2023-08-06,29.777,19.34,45.08
2023-08-07,23.53,17.06,34.28
2023-08-08,25.135,14.29,37.83
2023-08-09,25.603,15.27,36.04
2023-08-10,28.117,15.23,40.98
2023-08-11,31.24,23.03,42.22
2023-08-12,29.147,21.5,41.92
2023-08-13,29.267,20.42,43.05
2023-08-14,29.261,20.26,42.49
2023-08-15,27.653,18.24,39.76
2023-08-16,29.667,20.31,41.53
2023-08-17,30.629,20.87,44.5
2023-08-18,33.252,22.37,45.44
2023-08-19,33.605,23.64,47.69
2023-08-20,32.071,22.74,44.48
2023-08-21,31.605,22.19,44.76
2023-08-22,31.992,22.4,47.6
2023-08-23,31.253,22.01,46.14
2023-08-24,31.461,21.26,46.67
2023-08-25,32.185,20.96,47.08
2023-08-26,30.687,21.98,45.23
2023-08-27,31.742,22.7,37.5
2023-08-28,29.642,19.09,41.59
2023-08-29,28.693,19.38,44.6
2023-08-30,21.554,18.23,28.65
2023-08-31,27.323,16.75,40.94
2023-09-01,23.306,18.7,35.25
2023-09-02,24.87,24.29,25.45
2023-09-03,12.205,11.37,13.04
