date,ssm,lst_mean,lst_min,lst_max
2022-11-14,,17.953,12.96,26.38
2022-11-15,,15.099,13.69,18.47
2022-11-16,127.5,,,
2022-11-17,95.5,20.754,14.28,29.57
2022-11-18,,13.233,9.56,16.94
2022-11-19,,13.842,7.9,19.52
2022-11-20,,14.738,8.51,24.17
2022-11-21,,10.337,7.39,15.34
2022-11-22,,15.935,11.57,19.07
2022-11-23,43.0,18.857,13.57,27.41
2022-11-24,43.0,16.845,10.39,27.32
2022-11-25,,14.262,10.82,27.3
2022-11-26,,11.888,5.4,22.98
2022-11-27,,9.761,8.32,12.04
2022-11-28,127.5,13.92,8.49,22.27
2022-11-29,,13.25,6.44,22.15
2022-11-30,,10.415,6.03,22.5
2022-12-01,,,,
2022-12-02,,4.02,-4.05,9.92
2022-12-03,,9.238,-2.03,21.24
2022-12-04,,14.037,7.86,21.58
2022-12-05,78.0,12.15,8.95,19.02
2022-12-06,121.0,13.63,13.63,13.63
2022-12-07,,13.446,-3.14,23.29
2022-12-08,,,,
2022-12-09,,,,
2022-12-10,127.5,13.266,9.83,21.73
2022-12-11,121.0,12.33,9.36,15.3
2022-12-12,,12.543,10.07,16.17
2022-12-13,,15.5,15.41,15.59
2022-12-14,,15.702,14.87,16.62
2022-12-15,,11.758,9.25,13.89
2022-12-16,,10.427,7.27,16.6
2022-12-17,74.0,12.562,5.54,22.07
2022-12-18,81.0,12.609,8.79,21.61
2022-12-19,,11.413,9.18,17.46
2022-12-20,,11.571,7.0,20.45
2022-12-21,,12.718,6.67,22.54
2022-12-22,127.5,14.251,8.5,23.78
2022-12-23,63.0,13.994,8.46,24.46
2022-12-24,,13.925,7.52,24.16
2022-12-25,,12.901,6.18,23.42
2022-12-26,,11.264,4.16,22.92
2022-12-27,,11.828,3.45,23.15
2022-12-28,,11.633,4.76,22.91
2022-12-29,50.5,10.45,6.26,20.78
2022-12-30,40.0,12.854,4.43,23.77
2022-12-31,,10.742,6.95,21.66
2023-01-01,,17.11,17.11,17.11
2023-01-02,,10.514,5.57,22.18
2023-01-03,127.5,10.593,3.7,19.72
2023-01-04,69.0,9.915,7.72,16.77
2023-01-05,,10.805,6.07,22.09
2023-01-06,,10.937,5.63,21.94
2023-01-07,,11.143,5.23,22.95
2023-01-08,,6.978,6.01,7.57
2023-01-09,,17.48,10.63,27.0
2023-01-10,50.0,13.263,7.15,24.63
2023-01-11,47.0,13.969,7.35,24.28
2023-01-12,,12.966,5.44,24.17
2023-01-13,,9.701,2.31,23.42
2023-01-14,,10.095,-0.94,22.46
2023-01-15,127.5,11.124,2.91,22.91
2023-01-16,45.0,8.968,7.12,13.66
2023-01-17,,16.926,10.5,24.78
2023-01-18,,7.855,0.92,13.82
2023-01-19,,10.932,6.56,20.31
2023-01-20,,12.539,6.51,25.63
2023-01-21,,9.987,4.46,20.67
2023-01-22,22.5,7.239,2.02,20.13
2023-01-23,6.5,8.177,2.07,19.47
2023-01-24,,2.31,-3.74,5.04
2023-01-25,,4.915,1.95,13.47
2023-01-26,,5.445,1.03,15.7
2023-01-27,127.5,6.9,1.48,20.13
2023-01-28,36.5,7.975,1.14,20.28
2023-01-29,,7.051,1.71,19.23
2023-01-30,,8.447,3.19,19.44
2023-01-31,,8.703,2.18,21.92
2023-02-01,,9.025,2.36,21.68
2023-02-02,,10.0,4.56,22.42
2023-02-03,34.0,8.975,1.86,22.33
2023-02-04,24.5,10.082,2.69,25.22
2023-02-05,,8.787,0.71,20.72
2023-02-06,,5.34,4.24,6.43
2023-02-07,,7.04,1.97,17.06
2023-02-08,127.5,11.345,8.74,17.41
2023-02-09,100.0,7.858,-2.16,12.84
2023-02-10,,5.127,-0.36,7.71
2023-02-11,,7.03,0.37,14.93
